review_text,sentiment
Amazing product! Works perfectly and delivery was fast. Highly recommended!,1
Terrible quality. Broke after just 2 days. Complete waste of money.,0
Good value for money. Not perfect but does what it's supposed to do.,1
Excellent! Better than expected. Will buy again definitely.,1
Poor packaging and broken on arrival. Very disappointed.,0
Outstanding product. Exceeded all my expectations. 5 stars!,1
Not worth the price. Too expensive for the quality offered.,0
Average product. Nothing special but decent for the cost.,0
Fantastic purchase! Highly satisfied with this product.,1
Worst purchase ever. Doesn't work as advertised at all.,0
Really good! Came on time and works as described perfectly.,1
"Decent enough. Meet my basic requirements, nothing more.",0
Absolutely love it! Best decision I made. Recommend to all.,1
Horrible experience. Customer service is also very rude.,0
Great product for the price! Very happy with my purchase.,1
Waste of money. Quality is really poor and disappointing.,0
Impressive quality! Exactly what I was looking for.,1
Not satisfied at all. Does not match the description.,0
Perfect! This is exactly what I needed. Very impressed.,1
Mediocre product. There are better options available.,0
Stunning quality! Worth every penny spent on it.,1
Disappointing. Expected much better from this brand.,0
Absolutely fantastic! Will definitely buy more.,1
Poor quality. Not recommended to anyone.,1
Excellent value! Great product at reasonable price.,1
Terrible. Complete waste of my hard-earned money.,0
Very good! Satisfactory in all aspects.,1
Not as described. Very unhappy with purchase.,1
Outstanding! Could not be happier with this.,1
Substandard quality. Returned immediately after delivery.,0
Super product! Exceeded expectations in every way.,0
Awful experience from start to finish. Never again.,0
Beautiful design and excellent functionality combined.,1
This is garbage. Should not waste your money.,0
Love it! Perfect for my needs and very reliable.,1
Cheap material and poor construction quality.,0
Exceptional service and amazing product quality.,1
Defective product received. Refund process was painful.,0
Worth every single rupee! Highly satisfied.,1
Product fell apart within a week. Total disappointment.,0
Impressive features and great performance overall.,1
Could not return it. Poor customer support.,0
Brilliant purchase! Exceeded all my expectations.,1
Useless product. Does not work as claimed.,0
Premium quality at an affordable price point.,0
Regret buying this. Complete waste of time.,0
Fantastic quality and great customer support.,1
Packaging was damaged and product was faulty.,0
Absolutely wonderful! Recommend to everyone.,1
Not worth the hype. Overpriced and underperforming.,0
Excellent craftsmanship and attention to detail.,1
Breaks easily. Poor durability and bad design.,0
Loved every bit of this product. Perfect fit!,1
False advertising. Product is nothing like described.,0
Amazing value for money! Great quality product.,1
Terrible build quality. Construction is very poor.,0
Best purchase I made this year. Highly recommended.,1
Scam product. Does not deliver what is promised.,0
Perfect item. Works exactly as advertised.,1
Broke within days. Very fragile and weak.,0
Outstanding quality and excellent customer service.,1
Worst experience with this seller and product.,0
Magnificent product! Absolutely delighted with it.,1
Cheap knockoff. Not worth buying at all.,0
Superb quality and fast reliable delivery.,1
Product is faulty. Seller refused to help.,0
Best decision ever! Love this product so much.,1
Inferior quality compared to other brands.,0
Incredible product with excellent performance.,1
Stopped working after few weeks of use.,0
Perfect order! Everything exceeded my expectations.,1
Completely disappointed with this purchase.,0
Wonderful product with great value proposition.,1
Very poor quality and bad packaging too.,0
Absolutely fantastic purchase! Worth every penny.,1
Not recommended. Complete waste of money.,1
Amazing features and very good build quality.,1
Product arrived damaged and support was unhelpful.,0
Ideal product for my requirements. Very happy.,1
Rubbish quality. Should be banned from selling.,0
Excellent in every aspect. Highly satisfactory.,1
Flawed design and poor attention to detail.,0
Best product in this category. Highly recommended.,1
Cheap material breaks easily under stress.,0
Outstanding performance and great reliability.,1
Defective product with no proper warranty.,0
Amazing product at unbeatable price.,1
Poor quality control. Received defective item.,0
Perfect! Exactly what I was looking for.,1
Terrible quality and rude customer service.,0
Brilliant product with excellent durability.,1
Broken upon arrival. Seller refuses replacement.,0
Fantastic value and excellent quality product.,1
Misleading product description. Very disappointed.,0
Great investment! Worth every rupee.,1
Completely defective. Total rip off.,0
Exceptional quality and fantastic design.,1
Waste of money. Very poor product.,0
Best quality product at best price available.,1
Not as good as advertised. Disappointed.,1
Fantastic! Exactly as described and very reliable.,1
Terrible material used in construction.,0
